date,campaign,adgroup,ad,impressions,clicks,cost,conversions,revenue
02-08-2020,campaign 1,adgroup 3,ad 3,129,68,0.69,0,0
02-08-2020,campaign 1,adgroup 4,ad 3,4,4,0.05,0,0
02-08-2020,campaign 1,adgroup 1,ad 3,105,40,0.46,1,188.83
02-08-2020,campaign 1,adgroup 2,ad 3,2,0,0,0,0
02-08-2020,campaign 1,adgroup 3,ad 4,62,40,0.44,1,212.86
02-08-2020,campaign 1,adgroup 3,ad 5,10,8,0.08,0,0
02-08-2020,campaign 1,adgroup 3,ad 6,258,139,1.43,4,702.16
02-08-2020,campaign 1,adgroup 3,ad 7,17,9,0.1,1,76.22
02-08-2020,campaign 1,adgroup 1,ad 7,31,14,0.15,0,0
02-08-2020,campaign 1,adgroup 3,ad 8,243,117,1.21,2,219.73
02-08-2020,campaign 1,adgroup 4,ad 9,5,1,0.01,0,0
02-08-2020,campaign 1,adgroup 1,ad 9,212,79,0.86,5,1028.32
02-08-2020,campaign 1,adgroup 2,ad 9,3,2,0.02,0,0
02-08-2020,campaign 1,adgroup 3,ad 9,245,140,1.44,1,370.46
02-08-2020,campaign 1,adgroup 1,ad 10,12,4,0.04,0,0
03-08-2020,campaign 1,adgroup 4,ad 1,2,1,0.01,0,0
03-08-2020,campaign 1,adgroup 1,ad 1,49,13,0.13,0,0
03-08-2020,campaign 1,adgroup 3,ad 1,7,7,0.07,0,0
03-08-2020,campaign 1,adgroup 1,ad 2,304,156,1.75,9,1033.52
03-08-2020,campaign 1,adgroup 2,ad 2,7,0,0,0,0
03-08-2020,campaign 1,adgroup 4,ad 2,9,3,0.04,0,0
03-08-2020,campaign 1,adgroup 3,ad 3,140,60,0.64,1,126.85
03-08-2020,campaign 1,adgroup 1,ad 3,116,46,0.56,0,0
03-08-2020,campaign 1,adgroup 4,ad 3,3,3,0.03,0,0
03-08-2020,campaign 1,adgroup 3,ad 4,68,39,0.41,0,0
03-08-2020,campaign 1,adgroup 3,ad 5,16,8,0.09,1,227.77
03-08-2020,campaign 1,adgroup 3,ad 6,258,129,1.38,6,958.48
03-08-2020,campaign 1,adgroup 3,ad 7,11,5,0.09,0,0
03-08-2020,campaign 1,adgroup 2,ad 7,1,0,0,0,0
03-08-2020,campaign 1,adgroup 1,ad 7,22,8,0.08,0,0
03-08-2020,campaign 1,adgroup 3,ad 8,218,95,1.04,1,350.19
03-08-2020,campaign 1,adgroup 2,ad 9,4,2,0.02,0,0
03-08-2020,campaign 1,adgroup 3,ad 9,138,73,0.78,3,704.04
03-08-2020,campaign 1,adgroup 4,ad 9,3,2,0.02,0,0
03-08-2020,campaign 1,adgroup 1,ad 9,197,78,0.88,1,40.17
03-08-2020,campaign 1,adgroup 1,ad 10,15,5,0.05,0,0
04-08-2020,campaign 1,adgroup 4,ad 1,5,5,0.06,0,0
04-08-2020,campaign 1,adgroup 3,ad 1,19,6,0.07,0,0
04-08-2020,campaign 1,adgroup 1,ad 1,40,18,0.21,1,76.13
04-08-2020,campaign 1,adgroup 1,ad 2,272,139,1.54,4,830.9
04-08-2020,campaign 1,adgroup 2,ad 2,12,3,0.03,0,0
04-08-2020,campaign 1,adgroup 4,ad 2,2,2,0.03,1,30.01
04-08-2020,campaign 1,adgroup 1,ad 3,131,37,0.46,1,189.26
04-08-2020,campaign 1,adgroup 4,ad 3,1,1,0.02,0,0
04-08-2020,campaign 1,adgroup 3,ad 3,128,54,0.62,0,0
04-08-2020,campaign 1,adgroup 2,ad 3,2,0,0,0,0
04-08-2020,campaign 1,adgroup 3,ad 4,54,21,0.23,1,39.72
04-08-2020,campaign 1,adgroup 3,ad 5,13,4,0.04,0,0
04-08-2020,campaign 1,adgroup 3,ad 6,297,161,1.72,7,2050.19
04-08-2020,campaign 1,adgroup 3,ad 7,13,7,0.09,0,0
04-08-2020,campaign 1,adgroup 1,ad 7,25,11,0.12,0,0
04-08-2020,campaign 1,adgroup 3,ad 8,216,122,1.33,1,927.97
04-08-2020,campaign 1,adgroup 1,ad 9,173,64,0.75,1,154.91
04-08-2020,campaign 1,adgroup 2,ad 9,2,0,0,0,0
04-08-2020,campaign 1,adgroup 3,ad 9,144,67,0.85,2,79.84
04-08-2020,campaign 1,adgroup 4,ad 9,2,1,0.01,0,0
04-08-2020,campaign 1,adgroup 1,ad 10,8,2,0.02,0,0
05-08-2020,campaign 1,adgroup 1,ad 1,39,14,0.18,0,0
05-08-2020,campaign 1,adgroup 3,ad 1,8,4,0.05,0,0
05-08-2020,campaign 1,adgroup 4,ad 1,3,1,0.01,0,0
05-08-2020,campaign 1,adgroup 4,ad 2,6,3,0.05,1,380.74
05-08-2020,campaign 1,adgroup 2,ad 2,2,1,0.01,0,0
05-08-2020,campaign 1,adgroup 1,ad 2,309,155,1.73,6,784.97
05-08-2020,campaign 1,adgroup 4,ad 3,6,6,0.07,0,0
05-08-2020,campaign 1,adgroup 2,ad 3,3,0,0,0,0
05-08-2020,campaign 1,adgroup 3,ad 3,163,84,0.9,2,462.32
05-08-2020,campaign 1,adgroup 1,ad 3,142,37,0.42,0,0
05-08-2020,campaign 1,adgroup 3,ad 4,55,28,0.35,2,157.64
05-08-2020,campaign 1,adgroup 3,ad 5,20,8,0.08,0,0
05-08-2020,campaign 1,adgroup 3,ad 6,278,150,1.61,2,550.46
05-08-2020,campaign 1,adgroup 2,ad 7,8,7,0.11,0,0
05-08-2020,campaign 1,adgroup 1,ad 7,34,15,0.16,0,0
05-08-2020,campaign 1,adgroup 3,ad 7,18,9,0.15,0,0
05-08-2020,campaign 1,adgroup 3,ad 8,256,138,1.52,1,298.66
05-08-2020,campaign 1,adgroup 4,ad 10,1,0,0,0,0
05-08-2020,campaign 1,adgroup 1,ad 10,17,8,0.09,0,0
06-08-2020,campaign 1,adgroup 4,ad 1,3,2,0.02,0,0
06-08-2020,campaign 1,adgroup 1,ad 1,44,21,0.28,0,0
06-08-2020,campaign 1,adgroup 3,ad 1,10,3,0.03,0,0
06-08-2020,campaign 1,adgroup 1,ad 2,443,211,2.48,7,687.76
06-08-2020,campaign 1,adgroup 2,ad 2,5,4,0.05,0,0
06-08-2020,campaign 1,adgroup 4,ad 2,5,2,0.02,0,0
06-08-2020,campaign 1,adgroup 3,ad 3,148,71,0.74,0,0
06-08-2020,campaign 1,adgroup 4,ad 3,2,1,0.01,0,0
06-08-2020,campaign 1,adgroup 2,ad 3,5,1,0.01,0,0
06-08-2020,campaign 1,adgroup 1,ad 3,201,67,0.75,1,228.64
06-08-2020,campaign 1,adgroup 3,ad 4,52,27,0.34,0,0
06-08-2020,campaign 1,adgroup 3,ad 5,14,5,0.05,1,165.67
06-08-2020,campaign 1,adgroup 3,ad 6,297,154,1.7,0,0
06-08-2020,campaign 1,adgroup 1,ad 7,52,28,0.32,0,0
06-08-2020,campaign 1,adgroup 3,ad 7,9,4,0.05,0,0
06-08-2020,campaign 1,adgroup 2,ad 7,4,1,0.01,0,0
06-08-2020,campaign 1,adgroup 3,ad 8,282,130,1.42,1,114.85
06-08-2020,campaign 1,adgroup 4,ad 10,2,0,0,0,0
06-08-2020,campaign 1,adgroup 1,ad 10,15,6,0.07,2,172.52
07-08-2020,campaign 1,adgroup 3,ad 1,19,9,0.09,0,0
07-08-2020,campaign 1,adgroup 4,ad 1,3,1,0.01,0,0
07-08-2020,campaign 1,adgroup 1,ad 1,60,14,0.16,2,211.08
07-08-2020,campaign 1,adgroup 2,ad 2,7,1,0.01,0,0
07-08-2020,campaign 1,adgroup 1,ad 2,489,250,2.69,5,596.03
07-08-2020,campaign 1,adgroup 4,ad 2,8,4,0.05,0,0
07-08-2020,campaign 1,adgroup 2,ad 3,3,0,0,0,0
07-08-2020,campaign 1,adgroup 3,ad 3,158,76,0.88,0,0
07-08-2020,campaign 1,adgroup 1,ad 3,190,59,0.66,1,68.48
07-08-2020,campaign 1,adgroup 4,ad 3,2,1,0.02,0,0
07-08-2020,campaign 1,adgroup 3,ad 4,55,30,0.33,0,0
07-08-2020,campaign 1,adgroup 3,ad 5,14,7,0.08,0,0
07-08-2020,campaign 1,adgroup 3,ad 6,304,179,1.9,7,719.2
07-08-2020,campaign 1,adgroup 1,ad 7,48,23,0.26,1,0
07-08-2020,campaign 1,adgroup 2,ad 7,2,2,0.02,0,0
07-08-2020,campaign 1,adgroup 3,ad 7,16,10,0.14,0,0
07-08-2020,campaign 1,adgroup 3,ad 8,291,136,1.46,1,748.23
07-08-2020,campaign 1,adgroup 1,ad 10,17,5,0.07,0,0
08-08-2020,campaign 1,adgroup 4,ad 1,4,2,0.03,0,0
08-08-2020,campaign 1,adgroup 1,ad 1,13,4,0.05,0,0
08-08-2020,campaign 1,adgroup 3,ad 1,16,8,0.11,0,0
08-08-2020,campaign 1,adgroup 1,ad 2,524,237,2.81,7,488.97
08-08-2020,campaign 1,adgroup 4,ad 2,4,0,0,0,0
08-08-2020,campaign 1,adgroup 2,ad 2,7,2,0.03,0,0
08-08-2020,campaign 1,adgroup 1,ad 3,52,13,0.14,1,700.43
08-08-2020,campaign 1,adgroup 2,ad 3,1,0,0,0,0
08-08-2020,campaign 1,adgroup 3,ad 3,206,96,1.09,3,292.1
08-08-2020,campaign 1,adgroup 4,ad 3,5,3,0.04,0,0
08-08-2020,campaign 1,adgroup 3,ad 4,66,31,0.32,0,0
08-08-2020,campaign 1,adgroup 3,ad 5,21,15,0.16,1,201.98
08-08-2020,campaign 1,adgroup 3,ad 6,256,119,1.28,4,1165.75
08-08-2020,campaign 1,adgroup 1,ad 7,21,10,0.12,0,0
08-08-2020,campaign 1,adgroup 3,ad 7,20,5,0.05,0,0
08-08-2020,campaign 1,adgroup 2,ad 7,5,1,0.01,0,0
08-08-2020,campaign 1,adgroup 3,ad 8,348,150,1.58,1,709.44
08-08-2020,campaign 1,adgroup 1,ad 10,8,4,0.04,0,0
09-08-2020,campaign 1,adgroup 2,ad 1,1,0,0,0,0
09-08-2020,campaign 1,adgroup 3,ad 1,19,12,0.13,0,0
09-08-2020,campaign 1,adgroup 4,ad 1,1,1,0.01,0,0
09-08-2020,campaign 1,adgroup 1,ad 1,45,14,0.16,0,0
09-08-2020,campaign 1,adgroup 4,ad 2,17,3,0.04,0,0
09-08-2020,campaign 1,adgroup 2,ad 2,10,6,0.08,0,0
09-08-2020,campaign 1,adgroup 1,ad 2,440,203,2.36,7,831.74
09-08-2020,campaign 1,adgroup 2,ad 3,1,1,0.01,0,0
09-08-2020,campaign 1,adgroup 1,ad 3,169,75,0.82,0,0
09-08-2020,campaign 1,adgroup 3,ad 3,241,128,1.43,0,0
09-08-2020,campaign 1,adgroup 3,ad 4,71,33,0.36,0,0
09-08-2020,campaign 1,adgroup 3,ad 5,19,9,0.09,0,0
09-08-2020,campaign 1,adgroup 3,ad 6,297,148,1.53,7,1160.24
09-08-2020,campaign 1,adgroup 1,ad 7,71,35,0.37,1,139.97
09-08-2020,campaign 1,adgroup 2,ad 7,3,1,0.02,0,0
09-08-2020,campaign 1,adgroup 3,ad 7,14,10,0.13,0,0
09-08-2020,campaign 1,adgroup 3,ad 8,311,146,1.53,2,633.42
09-08-2020,campaign 1,adgroup 1,ad 10,18,6,0.08,0,0
10-08-2020,campaign 1,adgroup 4,ad 1,1,0,0,0,0
10-08-2020,campaign 1,adgroup 3,ad 1,23,8,0.08,0,0
10-08-2020,campaign 1,adgroup 2,ad 1,2,0,0,0,0
10-08-2020,campaign 1,adgroup 1,ad 1,68,36,0.44,1,168.1
10-08-2020,campaign 1,adgroup 4,ad 2,17,8,0.1,0,0
10-08-2020,campaign 1,adgroup 1,ad 2,496,229,2.48,4,488.53
10-08-2020,campaign 1,adgroup 2,ad 2,7,2,0.03,0,0
10-08-2020,campaign 1,adgroup 2,ad 3,4,0,0,0,0
10-08-2020,campaign 1,adgroup 1,ad 3,89,35,0.4,2,585.86
10-08-2020,campaign 1,adgroup 3,ad 3,201,92,0.98,2,190.15
10-08-2020,campaign 1,adgroup 3,ad 4,70,27,0.3,0,0
10-08-2020,campaign 1,adgroup 3,ad 5,31,10,0.13,0,0
10-08-2020,campaign 1,adgroup 3,ad 6,280,132,1.41,4,713.73
10-08-2020,campaign 1,adgroup 1,ad 7,75,34,0.4,1,107.05
10-08-2020,campaign 1,adgroup 2,ad 7,1,1,0.01,0,0
10-08-2020,campaign 1,adgroup 3,ad 7,9,3,0.03,0,0
10-08-2020,campaign 1,adgroup 3,ad 8,324,149,1.59,3,529.94
10-08-2020,campaign 1,adgroup 4,ad 10,3,0,0,0,0
10-08-2020,campaign 1,adgroup 1,ad 10,34,10,0.12,1,72.73
11-08-2020,campaign 1,adgroup 4,ad 1,1,1,0.01,0,0
11-08-2020,campaign 1,adgroup 1,ad 1,81,27,0.29,1,114
11-08-2020,campaign 1,adgroup 2,ad 1,1,1,0.01,0,0
11-08-2020,campaign 1,adgroup 3,ad 1,20,13,0.16,1,89.28
11-08-2020,campaign 1,adgroup 2,ad 2,8,4,0.07,0,0
11-08-2020,campaign 1,adgroup 1,ad 2,442,210,2.29,8,1353.74
11-08-2020,campaign 1,adgroup 4,ad 2,13,5,0.08,1,10.92
11-08-2020,campaign 1,adgroup 1,ad 3,117,38,0.43,1,131.08
11-08-2020,campaign 1,adgroup 2,ad 3,3,0,0,0,0
11-08-2020,campaign 1,adgroup 3,ad 3,152,85,1,1,332.08
11-08-2020,campaign 1,adgroup 4,ad 3,1,0,0,0,0
11-08-2020,campaign 1,adgroup 3,ad 4,61,32,0.33,1,200.53
11-08-2020,campaign 1,adgroup 3,ad 5,25,12,0.14,1,227.77
11-08-2020,campaign 1,adgroup 3,ad 6,289,146,1.52,7,941.3
11-08-2020,campaign 1,adgroup 2,ad 7,1,0,0,0,0
11-08-2020,campaign 1,adgroup 1,ad 7,70,33,0.34,3,203.08
11-08-2020,campaign 1,adgroup 3,ad 7,17,10,0.14,1,181.3
11-08-2020,campaign 1,adgroup 3,ad 8,278,135,1.44,2,481.88
11-08-2020,campaign 1,adgroup 1,ad 10,17,7,0.08,0,0
12-08-2020,campaign 1,adgroup 1,ad 1,47,22,0.27,1,351.81
12-08-2020,campaign 1,adgroup 3,ad 1,16,7,0.09,1,50.51
12-08-2020,campaign 1,adgroup 2,ad 2,5,0,0,0,0
12-08-2020,campaign 1,adgroup 1,ad 2,355,165,1.87,6,797.4
12-08-2020,campaign 1,adgroup 4,ad 2,16,11,0.14,5,550.08
12-08-2020,campaign 1,adgroup 3,ad 3,127,60,0.71,0,0
12-08-2020,campaign 1,adgroup 2,ad 3,2,0,0,0,0
12-08-2020,campaign 1,adgroup 1,ad 3,149,61,0.71,1,173.59
12-08-2020,campaign 1,adgroup 4,ad 3,1,0,0,0,0
12-08-2020,campaign 1,adgroup 3,ad 4,39,16,0.18,1,82.35
12-08-2020,campaign 1,adgroup 3,ad 5,20,9,0.1,0,0
12-08-2020,campaign 1,adgroup 3,ad 6,272,118,1.27,4,310.36
12-08-2020,campaign 1,adgroup 3,ad 7,14,11,0.11,0,0
12-08-2020,campaign 1,adgroup 1,ad 7,69,23,0.26,0,0
12-08-2020,campaign 1,adgroup 2,ad 7,7,2,0.02,0,0
12-08-2020,campaign 1,adgroup 3,ad 8,257,123,1.3,2,896.96
12-08-2020,campaign 1,adgroup 1,ad 10,20,12,0.14,0,0
13-08-2020,campaign 1,adgroup 3,ad 1,10,5,0.06,0,0
13-08-2020,campaign 1,adgroup 1,ad 1,70,34,0.38,0,0
13-08-2020,campaign 1,adgroup 4,ad 1,1,1,0.01,0,0
13-08-2020,campaign 1,adgroup 2,ad 1,1,0,0,0,0
13-08-2020,campaign 1,adgroup 4,ad 2,12,6,0.08,0,0
13-08-2020,campaign 1,adgroup 1,ad 2,480,218,2.41,7,1391.47
13-08-2020,campaign 1,adgroup 2,ad 2,8,0,0,0,0
13-08-2020,campaign 1,adgroup 1,ad 3,112,36,0.36,1,79.88
13-08-2020,campaign 1,adgroup 2,ad 3,2,0,0,0,0
13-08-2020,campaign 1,adgroup 3,ad 3,132,53,0.59,1,98.81
13-08-2020,campaign 1,adgroup 3,ad 4,37,17,0.2,0,0
13-08-2020,campaign 1,adgroup 3,ad 5,22,9,0.09,0,0
13-08-2020,campaign 1,adgroup 3,ad 6,259,125,1.32,4,668.21
13-08-2020,campaign 1,adgroup 1,ad 7,59,24,0.26,0,0
13-08-2020,campaign 1,adgroup 2,ad 7,3,1,0.02,0,0
13-08-2020,campaign 1,adgroup 3,ad 7,16,7,0.08,0,0
13-08-2020,campaign 1,adgroup 3,ad 8,236,123,1.29,2,452.08
13-08-2020,campaign 1,adgroup 1,ad 10,13,6,0.07,0,0
14-08-2020,campaign 1,adgroup 2,ad 1,2,0,0,0,0
14-08-2020,campaign 1,adgroup 1,ad 1,61,32,0.35,2,197.59
14-08-2020,campaign 1,adgroup 3,ad 1,14,4,0.04,0,0
14-08-2020,campaign 1,adgroup 1,ad 2,447,191,2.12,6,902.99
14-08-2020,campaign 1,adgroup 2,ad 2,7,3,0.04,0,0
14-08-2020,campaign 1,adgroup 4,ad 2,12,3,0.03,0,0
14-08-2020,campaign 1,adgroup 3,ad 3,154,86,0.97,2,306.03
14-08-2020,campaign 1,adgroup 2,ad 3,1,0,0,0,0
14-08-2020,campaign 1,adgroup 1,ad 3,98,31,0.34,1,237.96
14-08-2020,campaign 1,adgroup 3,ad 4,48,23,0.26,1,96.05
14-08-2020,campaign 1,adgroup 3,ad 5,25,10,0.11,0,0
14-08-2020,campaign 1,adgroup 3,ad 6,241,148,1.53,10,1792.62
14-08-2020,campaign 1,adgroup 3,ad 7,30,15,0.21,2,203.78
14-08-2020,campaign 1,adgroup 2,ad 7,2,1,0.01,0,0
14-08-2020,campaign 1,adgroup 1,ad 7,69,29,0.33,0,0
14-08-2020,campaign 1,adgroup 3,ad 8,259,123,1.32,2,296.35
14-08-2020,campaign 1,adgroup 1,ad 10,13,7,0.07,2,387.9
15-08-2020,campaign 1,adgroup 1,ad 1,32,10,0.12,0,0
15-08-2020,campaign 1,adgroup 3,ad 1,14,6,0.06,0,0
15-08-2020,campaign 1,adgroup 2,ad 2,4,2,0.02,0,0
15-08-2020,campaign 1,adgroup 1,ad 2,183,67,0.77,1,218.8
15-08-2020,campaign 1,adgroup 4,ad 2,7,2,0.03,0,0
15-08-2020,campaign 1,adgroup 4,ad 3,2,0,0,0,0
15-08-2020,campaign 1,adgroup 2,ad 3,1,1,0.01,0,0
15-08-2020,campaign 1,adgroup 1,ad 3,144,47,0.52,0,0
15-08-2020,campaign 1,adgroup 3,ad 3,168,93,1.05,0,0
15-08-2020,campaign 1,adgroup 3,ad 4,55,18,0.27,0,0
15-08-2020,campaign 1,adgroup 3,ad 5,24,10,0.15,2,714.99
15-08-2020,campaign 1,adgroup 3,ad 6,206,109,1.17,5,675.64
15-08-2020,campaign 1,adgroup 3,ad 7,21,11,0.12,0,0
15-08-2020,campaign 1,adgroup 2,ad 7,2,1,0.01,0,0
15-08-2020,campaign 1,adgroup 1,ad 7,42,15,0.15,0,0
15-08-2020,campaign 1,adgroup 3,ad 8,263,142,1.5,1,768.89
15-08-2020,campaign 1,adgroup 1,ad 10,17,3,0.04,0,0
16-08-2020,campaign 1,adgroup 1,ad 1,38,14,0.17,0,0
16-08-2020,campaign 1,adgroup 3,ad 1,20,12,0.13,0,0
16-08-2020,campaign 1,adgroup 2,ad 1,6,2,0.02,0,0
16-08-2020,campaign 1,adgroup 2,ad 2,8,3,0.05,0,0
16-08-2020,campaign 1,adgroup 1,ad 2,224,87,1.04,1,139.98
16-08-2020,campaign 1,adgroup 4,ad 2,11,6,0.09,0,0
16-08-2020,campaign 1,adgroup 1,ad 3,136,44,0.51,0,0
16-08-2020,campaign 1,adgroup 3,ad 3,150,71,0.8,1,185.57
16-08-2020,campaign 1,adgroup 2,ad 3,2,1,0.01,0,0
16-08-2020,campaign 1,adgroup 4,ad 3,1,1,0.01,0,0
16-08-2020,campaign 1,adgroup 3,ad 4,37,19,0.2,0,0
16-08-2020,campaign 1,adgroup 3,ad 5,17,14,0.16,1,74.05
16-08-2020,campaign 1,adgroup 3,ad 6,181,92,0.96,5,602.88
16-08-2020,campaign 1,adgroup 1,ad 7,51,18,0.2,1,191.75
16-08-2020,campaign 1,adgroup 3,ad 7,13,5,0.05,0,0
16-08-2020,campaign 1,adgroup 2,ad 7,2,2,0.02,0,0
16-08-2020,campaign 1,adgroup 3,ad 8,283,139,1.45,5,940.52
16-08-2020,campaign 1,adgroup 1,ad 10,19,7,0.07,0,0
16-08-2020,campaign 1,adgroup 4,ad 10,1,0,0,0,0
17-08-2020,campaign 1,adgroup 2,ad 1,1,0,0,0,0
17-08-2020,campaign 1,adgroup 3,ad 1,22,10,0.1,0,0
17-08-2020,campaign 1,adgroup 4,ad 1,1,0,0,0,0
17-08-2020,campaign 1,adgroup 1,ad 1,44,16,0.18,1,88.48
17-08-2020,campaign 1,adgroup 1,ad 2,332,149,1.81,5,943.25
17-08-2020,campaign 1,adgroup 2,ad 2,11,3,0.05,1,62.53
17-08-2020,campaign 1,adgroup 4,ad 2,16,6,0.08,1,320.87
17-08-2020,campaign 1,adgroup 3,ad 3,107,56,0.6,1,125.88
17-08-2020,campaign 1,adgroup 1,ad 3,117,44,0.48,0,0
17-08-2020,campaign 1,adgroup 3,ad 4,56,33,0.35,2,591.31
17-08-2020,campaign 1,adgroup 3,ad 5,17,13,0.17,0,0
17-08-2020,campaign 1,adgroup 3,ad 6,257,133,1.4,6,1138.7
17-08-2020,campaign 1,adgroup 1,ad 7,82,33,0.38,1,170.31
17-08-2020,campaign 1,adgroup 3,ad 7,23,10,0.15,0,0
17-08-2020,campaign 1,adgroup 2,ad 7,3,0,0,0,0
17-08-2020,campaign 1,adgroup 3,ad 8,211,106,1.12,0,0
17-08-2020,campaign 1,adgroup 1,ad 10,21,9,0.11,0,0
18-08-2020,campaign 1,adgroup 3,ad 1,23,10,0.14,2,304.78
18-08-2020,campaign 1,adgroup 1,ad 1,48,17,0.21,1,294.23
18-08-2020,campaign 1,adgroup 2,ad 2,7,2,0.03,0,0
18-08-2020,campaign 1,adgroup 4,ad 2,10,4,0.07,0,0
18-08-2020,campaign 1,adgroup 1,ad 2,307,146,1.63,6,1309.22
18-08-2020,campaign 1,adgroup 2,ad 3,2,1,0.02,0,0
18-08-2020,campaign 1,adgroup 4,ad 3,1,0,0,0,0
18-08-2020,campaign 1,adgroup 1,ad 3,144,42,0.52,1,246.82
18-08-2020,campaign 1,adgroup 3,ad 3,86,44,0.52,0,0
18-08-2020,campaign 1,adgroup 3,ad 4,43,24,0.26,1,236.66
18-08-2020,campaign 1,adgroup 3,ad 5,28,12,0.18,0,0
18-08-2020,campaign 1,adgroup 3,ad 6,269,159,1.7,2,244.15
18-08-2020,campaign 1,adgroup 2,ad 7,1,0,0,0,0
18-08-2020,campaign 1,adgroup 3,ad 7,21,15,0.18,0,0
18-08-2020,campaign 1,adgroup 1,ad 7,68,26,0.32,1,364.57
18-08-2020,campaign 1,adgroup 3,ad 8,272,154,1.63,2,497.48
18-08-2020,campaign 1,adgroup 1,ad 10,39,14,0.17,0,0
19-08-2020,campaign 1,adgroup 1,ad 1,47,23,0.25,0,0
19-08-2020,campaign 1,adgroup 3,ad 1,22,7,0.09,0,0
19-08-2020,campaign 1,adgroup 2,ad 1,2,0,0,0,0
19-08-2020,campaign 1,adgroup 2,ad 2,1,0,0,0,0
19-08-2020,campaign 1,adgroup 4,ad 2,7,2,0.03,0,0
19-08-2020,campaign 1,adgroup 1,ad 2,315,153,1.71,3,360.67
19-08-2020,campaign 1,adgroup 3,ad 3,115,64,0.69,0,0
19-08-2020,campaign 1,adgroup 1,ad 3,152,63,0.76,0,0
19-08-2020,campaign 1,adgroup 2,ad 3,1,0,0,0,0
19-08-2020,campaign 1,adgroup 3,ad 4,34,20,0.21,1,154.64
19-08-2020,campaign 1,adgroup 3,ad 5,27,21,0.24,2,208.94
19-08-2020,campaign 1,adgroup 3,ad 6,267,144,1.54,2,582.29
19-08-2020,campaign 1,adgroup 1,ad 7,99,42,0.51,1,284.41
19-08-2020,campaign 1,adgroup 3,ad 7,14,5,0.06,0,0
19-08-2020,campaign 1,adgroup 2,ad 7,2,1,0.01,0,0
19-08-2020,campaign 1,adgroup 3,ad 8,270,152,1.58,1,182.05
19-08-2020,campaign 1,adgroup 1,ad 10,28,13,0.13,0,0
20-08-2020,campaign 1,adgroup 3,ad 1,21,10,0.1,0,0
20-08-2020,campaign 1,adgroup 1,ad 1,54,24,0.29,0,0
20-08-2020,campaign 1,adgroup 4,ad 1,1,0,0,0,0
20-08-2020,campaign 1,adgroup 1,ad 2,277,120,1.43,6,1670.52
20-08-2020,campaign 1,adgroup 2,ad 2,4,1,0.01,0,0
20-08-2020,campaign 1,adgroup 4,ad 2,9,3,0.03,0,0
20-08-2020,campaign 1,adgroup 3,ad 3,169,84,0.89,0,0
20-08-2020,campaign 1,adgroup 1,ad 3,131,62,0.7,0,0
20-08-2020,campaign 1,adgroup 3,ad 4,31,11,0.11,1,153.09
20-08-2020,campaign 1,adgroup 3,ad 5,14,6,0.07,0,0
20-08-2020,campaign 1,adgroup 3,ad 6,276,122,1.28,2,246.73
20-08-2020,campaign 1,adgroup 1,ad 7,46,20,0.22,0,0
20-08-2020,campaign 1,adgroup 3,ad 7,20,15,0.15,0,0
20-08-2020,campaign 1,adgroup 2,ad 7,4,1,0.03,0,0
20-08-2020,campaign 1,adgroup 3,ad 8,296,146,1.59,2,192.73
20-08-2020,campaign 1,adgroup 1,ad 10,23,9,0.15,0,0
